,Unnamed: 0,X [s],Avanti sensor 1: EMG 1 [V],Avanti sensor 2: EMG 2 [V],Avanti sensor 3: EMG 3 [V],Avanti sensor 4: EMG 4 [V],Avanti sensor 5: EMG 5 [V],Avanti sensor 6: EMG 6 [V],Avanti sensor 7: EMG 7 [V],Avanti sensor 8: EMG 8 [V],Avanti sensor 9: EMG 9 [V],Avanti sensor 10: EMG 10 [V]
21928,21928,17.4134,-1.30922e-05,-1.84634e-05,-2.19883e-05,-1.02388e-05,-1.30922e-05,1.05745e-05,1.96384e-05,-2.46738e-05,1.67849e-05,9.73526e-06
21929,21929,17.4142,-1.29244e-05,-1.96384e-05,-2.09812e-05,-1.15816e-05,-1.561e-05,6.54612e-06,1.39315e-05,-2.6688e-05,4.14588e-05,7.88891e-06
21930,21930,17.415,-1.49386e-05,-1.8967e-05,-2.09812e-05,-1.57778e-05,-2.03098e-05,2.85344e-06,5.53903e-06,-2.43381e-05,4.61585e-05,4.19623e-06
21931,21931,17.4158,-1.35958e-05,-1.49386e-05,-2.24918e-05,-1.96384e-05,-1.93027e-05,-2.18204e-06,5.87472e-06,-2.63523e-05,1.39315e-05,5.87472e-06
21932,21932,17.4166,-1.42672e-05,-1.35958e-05,-2.46738e-05,-1.66171e-05,-1.81277e-05,1.84634e-06,9.9031e-06,-2.80308e-05,4.19623e-06,8.05676e-06
21933,21933,17.4174,-1.25887e-05,-1.46029e-05,-2.50095e-05,-1.49386e-05,-1.79599e-05,2.18204e-06,9.23171e-06,-2.87022e-05,2.51774e-06,5.20333e-06
21934,21934,17.4182,-1.25887e-05,-1.62814e-05,-2.29953e-05,-1.561e-05,-1.93027e-05,-3.02129e-06,1.8967e-05,-2.90379e-05,-2.34989e-06,2.85344e-06
21935,21935,17.419,-1.27565e-05,-1.69528e-05,-2.23239e-05,-1.59457e-05,-1.86313e-05,-4.86763e-06,1.96384e-05,-2.93736e-05,-6.37827e-06,-1.0071e-06
21936,21936,17.4198,-1.39315e-05,-1.51064e-05,-2.16526e-05,-1.35958e-05,-2.03098e-05,-7.55322e-06,1.29244e-05,-3.20592e-05,-6.88182e-06,1.0071e-06
21937,21937,17.4206,-1.29244e-05,-1.42672e-05,-2.09812e-05,-1.39315e-05,-2.19883e-05,-7.38537e-06,1.04067e-05,-3.37377e-05,-1.84634e-06,5.20333e-06
21938,21938,17.4214,-1.27565e-05,-1.49386e-05,-2.38346e-05,-1.27565e-05,-1.91348e-05,-6.04257e-06,7.72107e-06,-3.40734e-05,5.03548e-06,1.05745e-05
21939,21939,17.4221,-1.4435e-05,-1.24208e-05,-2.40024e-05,-9.06386e-06,-1.96384e-05,-4.69978e-06,6.71397e-07,-3.47448e-05,5.20333e-06,1.52743e-05
21940,21940,17.4229,-1.42672e-05,-1.15816e-05,-2.26596e-05,-8.89601e-06,-2.13169e-05,-8.39246e-07,-4.69978e-06,-3.64233e-05,9.23171e-06,1.64492e-05
21941,21941,17.4237,-1.35958e-05,-1.49386e-05,-2.36667e-05,-1.30922e-05,-2.1149e-05,3.52483e-06,-6.04257e-06,-3.60876e-05,7.04967e-06,1.24208e-05
21942,21942,17.4245,-1.42672e-05,-1.25887e-05,-2.53452e-05,-1.59457e-05,-2.06455e-05,3.86053e-06,-4.86763e-06,-3.37377e-05,2.51774e-06,9.23171e-06
21943,21943,17.4253,-1.49386e-05,-1.52743e-05,-2.29953e-05,-1.39315e-05,-1.91348e-05,-2.01419e-06,-6.71397e-06,-3.02129e-05,-2.51774e-06,8.56031e-06
21944,21944,17.4261,-1.27565e-05,-1.52743e-05,-1.8967e-05,-1.4435e-05,-2.09812e-05,-6.37827e-06,-7.21752e-06,-2.7863e-05,-3.69268e-06,1.2253e-05
21945,21945,17.4269,-1.19173e-05,-1.2253e-05,-2.13169e-05,-1.76242e-05,-2.19883e-05,-4.53193e-06,-5.03548e-06,-2.90379e-05,-3.02129e-06,1.09102e-05
21946,21946,17.4277,-1.27565e-05,-1.42672e-05,-1.8967e-05,-1.71206e-05,-1.99741e-05,-5.53903e-06,-1.67849e-06,-2.93736e-05,-5.03548e-07,8.39246e-06
21947,21947,17.4285,-1.25887e-05,-9.73526e-06,-1.84634e-05,-1.76242e-05,-1.71206e-05,-7.55322e-06,-3.18914e-06,-2.92058e-05,3.35698e-07,-6.71397e-07
21948,21948,17.4293,-1.29244e-05,-1.09102e-05,-2.13169e-05,-1.51064e-05,-1.84634e-05,-8.22461e-06,-1.17494e-06,-2.80308e-05,-1.0071e-06,-6.21042e-06
21949,21949,17.4301,-1.51064e-05,-1.04067e-05,-2.09812e-05,-1.57778e-05,-1.99741e-05,-6.54612e-06,8.39246e-07,-2.93736e-05,-2.18204e-06,-2.18204e-06
21950,21950,17.4309,-1.49386e-05,-1.09102e-05,-1.99741e-05,-1.96384e-05,-1.79599e-05,-5.70687e-06,-8.39246e-07,-3.17235e-05,-2.01419e-06,1.17494e-06
21951,21951,17.4317,-1.25887e-05,-1.39315e-05,-2.03098e-05,-2.36667e-05,-1.67849e-05,-8.89601e-06,-1.17494e-06,-3.15557e-05,-2.85344e-06,6.04257e-06
21952,21952,17.4325,-1.2253e-05,-1.49386e-05,-1.94705e-05,-2.23239e-05,-1.66171e-05,-7.72107e-06,-2.85344e-06,-3.07164e-05,1.17494e-06,1.59457e-05
21953,21953,17.4333,-8.89601e-06,-1.24208e-05,-1.79599e-05,-2.03098e-05,-1.24208e-05,-9.56741e-06,-4.53193e-06,-2.90379e-05,9.23171e-06,2.46738e-05
21954,21954,17.4341,-8.89601e-06,-1.35958e-05,-2.09812e-05,-2.26596e-05,-1.561e-05,-7.55322e-06,-3.52483e-06,-2.80308e-05,1.05745e-05,2.29953e-05
21955,21955,17.4349,-1.12459e-05,-1.59457e-05,-1.93027e-05,-2.40024e-05,-1.71206e-05,-7.55322e-06,-1.34279e-06,-3.0045e-05,5.87472e-06,1.66171e-05
21956,21956,17.4356,-1.05745e-05,-1.32601e-05,-1.8967e-05,-2.70237e-05,-2.06455e-05,-1.05745e-05,-2.51774e-06,-2.98772e-05,-1.67849e-07,1.19173e-05
21957,21957,17.4364,-1.17494e-05,-1.19173e-05,-2.03098e-05,-2.3331e-05,-2.18204e-05,-8.89601e-06,-3.86053e-06,-3.40734e-05,1.0071e-06,9.73526e-06
21958,21958,17.4372,-1.12459e-05,-1.05745e-05,-2.16526e-05,-2.16526e-05,-2.26596e-05,-6.54612e-06,-4.86763e-06,-3.13878e-05,3.52483e-06,3.86053e-06
21959,21959,17.438,-1.15816e-05,-9.23171e-06,-2.03098e-05,-2.04776e-05,-2.63523e-05,-4.19623e-06,5.20333e-06,-2.81987e-05,6.71397e-07,-8.56031e-06
21960,21960,17.4388,-1.02388e-05,-1.12459e-05,-2.29953e-05,-2.06455e-05,-2.60166e-05,-1.84634e-06,1.25887e-05,-2.97093e-05,-8.39246e-07,-5.53903e-06
21961,21961,17.4396,-9.9031e-06,-1.42672e-05,-2.18204e-05,-1.7792e-05,-2.60166e-05,-3.35698e-07,1.10781e-05,-2.98772e-05,2.51774e-06,1.51064e-06
21962,21962,17.4404,-1.19173e-05,-1.76242e-05,-1.96384e-05,-1.93027e-05,-1.99741e-05,-2.01419e-06,5.03548e-06,-3.17235e-05,-1.0071e-06,4.53193e-06
21963,21963,17.4412,-1.42672e-05,-1.91348e-05,-2.13169e-05,-2.50095e-05,-1.93027e-05,-3.52483e-06,3.86053e-06,-3.23949e-05,-1.17494e-06,6.04257e-06
21964,21964,17.442,-1.27565e-05,-1.93027e-05,-2.18204e-05,-2.56809e-05,-2.13169e-05,-1.67849e-07,9.73526e-06,-3.17235e-05,5.20333e-06,1.12459e-05
21965,21965,17.4428,-1.19173e-05,-1.4435e-05,-2.50095e-05,-2.50095e-05,-1.67849e-05,-4.19623e-06,9.73526e-06,-3.0045e-05,3.69268e-06,1.59457e-05
21966,21966,17.4436,-1.12459e-05,-1.46029e-05,-2.19883e-05,-2.46738e-05,-1.52743e-05,-4.86763e-06,9.23171e-06,-2.76951e-05,3.02129e-06,1.39315e-05
21967,21967,17.4444,-1.29244e-05,-1.46029e-05,-2.06455e-05,-2.61845e-05,-1.42672e-05,0.0,1.59457e-05,-2.63523e-05,1.67849e-06,1.25887e-05
21968,21968,17.4452,-1.57778e-05,-1.35958e-05,-2.09812e-05,-2.97093e-05,-1.4435e-05,-2.18204e-06,2.53452e-05,-2.70237e-05,-2.34989e-06,1.19173e-05
21969,21969,17.446,-1.30922e-05,-1.35958e-05,-1.99741e-05,-3.122e-05,-1.69528e-05,-6.21042e-06,2.4506e-05,-2.31632e-05,-4.86763e-06,6.21042e-06
21970,21970,17.4468,-1.12459e-05,-1.09102e-05,-1.82956e-05,-2.97093e-05,-1.86313e-05,-8.89601e-06,2.06455e-05,-2.03098e-05,-4.86763e-06,1.51064e-06
21971,21971,17.4476,-1.27565e-05,-1.05745e-05,-1.8967e-05,-2.97093e-05,-1.82956e-05,-8.22461e-06,1.39315e-05,-2.06455e-05,-3.86053e-06,-1.67849e-07
21972,21972,17.4484,-1.54421e-05,-1.37636e-05,-1.79599e-05,-3.22271e-05,-1.561e-05,-5.87472e-06,8.56031e-06,-1.99741e-05,1.51064e-06,2.34989e-06
21973,21973,17.4491,-1.4435e-05,-1.25887e-05,-1.82956e-05,-2.97093e-05,-1.32601e-05,-9.06386e-06,5.20333e-06,-2.23239e-05,1.17494e-06,8.22461e-06
21974,21974,17.4499,-1.02388e-05,-9.23171e-06,-1.96384e-05,-2.3331e-05,-1.35958e-05,-1.15816e-05,8.56031e-06,-2.43381e-05,4.86763e-06,1.94705e-05
21975,21975,17.4507,-1.15816e-05,-1.17494e-05,-2.03098e-05,-2.14847e-05,-1.19173e-05,-1.17494e-05,8.22461e-06,-2.38346e-05,6.88182e-06,2.51774e-05
21976,21976,17.4515,-1.35958e-05,-1.35958e-05,-2.26596e-05,-2.08133e-05,-1.30922e-05,-1.02388e-05,4.02838e-06,-2.63523e-05,6.54612e-06,1.96384e-05
21977,21977,17.4523,-1.2253e-05,-1.46029e-05,-2.26596e-05,-2.03098e-05,-1.561e-05,-5.87472e-06,-1.51064e-06,-2.80308e-05,8.22461e-06,1.561e-05
21978,21978,17.4531,-1.19173e-05,-1.57778e-05,-2.16526e-05,-2.03098e-05,-1.15816e-05,1.67849e-07,2.18204e-06,-2.7863e-05,7.55322e-06,9.9031e-06
21979,21979,17.4539,-1.62814e-05,-1.64492e-05,-2.26596e-05,-2.06455e-05,-1.02388e-05,4.53193e-06,6.71397e-06,-2.90379e-05,3.86053e-06,-3.52483e-06
21980,21980,17.4547,-1.62814e-05,-1.62814e-05,-2.29953e-05,-1.87991e-05,-1.51064e-05,8.39246e-07,1.66171e-05,-3.0045e-05,-1.67849e-07,-8.89601e-06
21981,21981,17.4555,-1.57778e-05,-1.7792e-05,-2.43381e-05,-1.62814e-05,-1.561e-05,-4.53193e-06,1.24208e-05,-3.0045e-05,3.02129e-06,-1.12459e-05
21982,21982,17.4563,-1.46029e-05,-1.62814e-05,-2.63523e-05,-1.35958e-05,-1.05745e-05,-4.36408e-06,1.84634e-06,-3.27306e-05,6.54612e-06,-7.88891e-06
21983,21983,17.4571,-1.25887e-05,-1.59457e-05,-2.56809e-05,-1.51064e-05,-1.561e-05,-2.34989e-06,-3.52483e-06,-3.40734e-05,1.02388e-05,-4.69978e-06
21984,21984,17.4579,-1.30922e-05,-1.42672e-05,-2.7863e-05,-1.66171e-05,-1.94705e-05,-3.52483e-06,-1.67849e-06,-3.27306e-05,7.72107e-06,2.85344e-06
21985,21985,17.4587,-1.32601e-05,-1.2253e-05,-2.60166e-05,-1.46029e-05,-2.09812e-05,-5.53903e-06,2.51774e-06,-3.122e-05,5.53903e-06,3.02129e-06
21986,21986,17.4595,-1.02388e-05,-9.06386e-06,-2.50095e-05,-9.9031e-06,-2.26596e-05,-7.21752e-06,2.51774e-06,-3.122e-05,4.86763e-06,1.51064e-06
21987,21987,17.4603,-1.29244e-05,-1.2253e-05,-2.48417e-05,-8.89601e-06,-2.29953e-05,-6.88182e-06,2.68559e-06,-2.73594e-05,3.18914e-06,4.19623e-06
21988,21988,17.4611,-1.4435e-05,-1.57778e-05,-2.40024e-05,-8.56031e-06,-2.23239e-05,-4.86763e-06,6.88182e-06,-2.97093e-05,-4.36408e-06,-7.21752e-06
