,Unnamed: 0,X [s],Avanti sensor 1: EMG 1 [V],Avanti sensor 2: EMG 2 [V],Avanti sensor 3: EMG 3 [V],Avanti sensor 4: EMG 4 [V],Avanti sensor 5: EMG 5 [V],Avanti sensor 6: EMG 6 [V],Avanti sensor 7: EMG 7 [V],Avanti sensor 8: EMG 8 [V],Avanti sensor 9: EMG 9 [V],Avanti sensor 10: EMG 10 [V]
44980,44980,35.7194,-2.85344e-06,-1.35958e-05,-2.03098e-05,-1.4435e-05,9.23171e-06,-4.19623e-06,1.84634e-06,-1.76242e-05,1.52743e-05,-5.03548e-07
44981,44981,35.7202,-5.70687e-06,-1.39315e-05,-1.86313e-05,-1.09102e-05,2.04776e-05,-8.22461e-06,3.18914e-06,-2.14847e-05,-3.25628e-05,-2.51774e-06
44982,44982,35.721,-1.67849e-06,-1.24208e-05,-1.86313e-05,-5.53903e-06,2.58488e-05,-9.56741e-06,3.02129e-06,-1.98062e-05,-4.26337e-05,-5.53903e-06
44983,44983,35.7218,-2.85344e-06,-1.39315e-05,-2.06455e-05,-6.21042e-06,3.3402e-05,-9.56741e-06,4.19623e-06,-1.81277e-05,-3.84375e-05,-4.86763e-06
44984,44984,35.7226,-1.14137e-05,-1.82956e-05,-2.51774e-05,-2.01419e-06,2.92058e-05,-6.71397e-06,5.20333e-06,-1.27565e-05,-3.23949e-05,-6.21042e-06
44985,44985,35.7234,-1.49386e-05,-9.56741e-06,-2.60166e-05,1.67849e-07,2.40024e-05,-3.86053e-06,6.88182e-06,-6.54612e-06,-3.03807e-05,-5.20333e-06
44986,44986,35.7242,-1.35958e-05,-2.51774e-06,-2.46738e-05,7.55322e-06,3.10521e-05,-4.86763e-06,6.88182e-06,1.67849e-07,-2.90379e-05,-5.53903e-06
44987,44987,35.725,-1.49386e-05,-6.37827e-06,-2.29953e-05,1.99741e-05,2.23239e-05,3.35698e-07,5.53903e-06,2.18204e-06,-1.51064e-05,-5.20333e-06
44988,44988,35.7258,-1.09102e-05,-8.89601e-06,-1.96384e-05,1.52743e-05,1.14137e-05,1.84634e-06,5.53903e-06,7.04967e-06,5.87472e-06,-6.21042e-06
44989,44989,35.7266,-8.72816e-06,-1.04067e-05,-2.03098e-05,-1.04067e-05,4.19623e-06,-4.53193e-06,6.54612e-06,1.32601e-05,7.88891e-06,-8.89601e-06
